;BTCUSD;ETHUSD;XRPUSD;AAPL;MSFT;NVDA;CRM;ADBE;INTC;QUAL;CSCO;ABBV;ABT;DHR;JNJ;PFE;UNH;MRK;TMO;AMZN;HD;LOW;SBUX;BKNG;TJX;GOOG;META;VZ;DIS;CMCSA;NFLX;T;TMUS;BRK+B;V;JPM;MA;BAC;PYPL;BLK;MS;HON;UNP;UPS;LMT;BA;RTX;MMM;CAT;WMT;PG;KO;PEP;COST;PM;EL;MDLZ;NEE;D;SO;AEP;EXC;SRE;XEL;LIN;SHW;APD;ECL;NEM;FCX;LYB;PPG;AMT;PLD;CCI;EQIX;PSA;DLR;SBAC;WELL;CVX;XOM;COP;KMI;PSX;EOG;WMB;MPC;BZ;CL;AH;GC;CA;NI;PA;PL
2018-01-01 00:00:00;0.00363365991331641;0.0018207504546380682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00014824420721622585;;3.2359160470552393e-05;;;;
2018-01-02 00:00:00;0.005359241224094113;0.006935767877866511;;0.0001366113417940094;0.00019638691171267657;0.0004527381485416545;0.0004888304570444959;0.0004888304570444959;0.00025399634684157915;3.663062546689861e-05;0.0003470507450741235;0.00048085219603641544;0.0004167476738931878;0.00018555253302502973;0.0001668406709107098;0.00016663305594004412;0.00042637195845427616;0.00018330606214162943;0.00035928505365821935;0.00015168953881930717;0.00012971131168159857;0.00031827033009017075;0.0001732679644784753;0.0002775864336372142;0.00039301368404186016;0.00018206613852964065;0.0001618750635996069;0.0002850674964172088;0.00041066844393385056;0.0005117252762961265;0.0010566403513992022;0.0005838883339862879;0.000521347306860143;0.0002925254835585497;0.00015186154063618026;0.00017787533098099744;0.0002052963215480273;0.00024709394963023126;0.00031351111922580256;0.000397930201438351;0.00020101049818118308;0.0001516358557868449;0.0002739653898201993;0.0005279577733272053;0.00014080633012347553;0.0001486578889728504;0.00020885829142311939;0.00032970974012654027;0.0003702279873403022;0.0001435999226981239;0.00010499913517810984;8.600221489732631e-05;0.00018692100291363512;0.0003044128711069222;0.00028155280113127527;0.00015602424930709634;0.0001364704292798714;0.00019631874287687635;0.00020681651295980982;0.00031926227647172486;0.00025260812441269757;0.00021472638611667156;0.0003184614490961984;0.0002258974115132285;0.00015547775402716997;0.00020953044949608706;0.00024222586521558087;0.00014119472406493933;0.00022451004725407373;0.0015546673577819267;0.00022532354608364668;0.0001532388222159933;0.00025977948257123245;0.00028120962805612245;0.00039231961795296237;0.0005055586571896348;0.0005918379698926166;0.0002045144426700795;0.0005903927095247835;0.0001943398622828776;0.00014395861340369355;0.00010401882120329444;0.0004362631208308041;0.000664787967107751;0.00026067464018397594;0.00029013594657924767;0.000507555396066081;0.00038095561094803873;0.00017768970183144013;0.00010518876025667197;0.0002672195946849164;2.790969155384714e-05;0.00011730410595394654;0.0004154352884523812;0.0001627439599932606;9.259541644918448e-05
2018-01-03 00:00:00;0.0026741242881999383;0.0032434347942176286;;7.387360834570237e-05;3.069022289712293e-05;0.0010763309709437962;0.00010503824584074313;0.00010503824584074313;0.0014583730687736643;1.1714945679915163e-05;6.829119186599456e-05;0.00012729648227235483;6.312148753931471e-05;4.8751429184659696e-05;3.0029001621104516e-05;4.980129091302007e-05;5.0402898475164415e-05;3.2091218907155384e-05;0.0002145131203693348;5.075248598948276e-05;3.984083899224685e-05;7.016122277261722e-05;0.0001414864768257791;0.00022447471142314067;0.00024585211113951737;8.439419465603948e-05;9.14374910108748e-05;0.00013657997190569482;0.00012974223453991092;0.00022683295417616842;0.00022687424167492604;0.00012415944277450908;6.313393927069493e-05;4.6890288838012325e-05;4.49495743312088e-05;5.352838231000624e-05;5.911977843572444e-05;6.208218542248605e-05;0.0002776265700946179;5.962589414939549e-05;8.144017735238521e-05;5.928020836713084e-05;9.135694036340785e-05;5.974456523979811e-05;2.565197703375931e-05;7.552941532836031e-05;0.00021857094892808177;5.25838380517882e-05;6.024349143218892e-05;5.390835456546095e-05;2.858052952179966e-05;3.769283781453294e-05;3.1212554724591035e-05;8.647284075004883e-05;5.423462464063769e-05;7.269849848744307e-05;4.178788442108896e-05;0.00010415934945466231;0.0017658432973765143;7.032501384481901e-05;6.181091046447004e-05;8.492337539869359e-05;0.0003231670823245703;9.981221436562902e-05;5.4703070083220065e-05;7.187696590409026e-05;4.3318217334142634e-05;3.88462690879939e-05;0.00017379861937068998;0.0003537255325915506;0.00011117682344390542;5.30146186552375e-05;8.297550147729117e-05;5.663406148434641e-05;7.40483753949597e-05;0.00016325040339052862;6.686456665450483e-05;0.00013419064424698523;0.00012184013881033412;5.778721186385583e-05;7.349639423721418e-05;6.01470581698475e-05;8.835084329290078e-05;0.0001237769035660713;5.549790975125254e-05;0.00019815939525995733;0.00018958523519927453;0.00016781536381917886;8.38752731097676e-05;7.953342038070109e-05;0.00022040258903276627;5.235447477217902e-05;6.293641479572685e-05;0.0002513128904354846;0.0001705144617939622;9.486180609959572e-05
2018-01-04 00:00:00;0.002274302586192383;0.004028691654535438;;4.778400558599059e-05;8.620223638677546e-05;0.0008434441160736641;0.0001593167454602599;0.0001593167454602599;0.0018108164588781421;2.0367388587315815e-05;6.186211898190057e-05;0.00018290735705617884;9.826015809515613e-05;9.323191450295721e-05;3.424945122034238e-05;5.695274600652311e-05;5.932200500257936e-05;0.0001172278983176597;0.00011347720048102708;0.00011502278776915546;5.2535383935234805e-05;7.092420898231622e-05;0.00010629670825172954;0.00016759235975903112;0.00014417553414143643;9.125029300596108e-05;0.00011448765126370367;0.00017464647529588905;5.794186325693741e-05;8.63108739700507e-05;0.0002266435054332402;0.00011350038389916565;0.00014840576324954522;5.963142413369709e-05;8.517610138350906e-05;9.837523291480266e-05;0.00015780474624823264;0.00015945566213249678;0.00025111959172498916;6.645600899338498e-05;0.00013858584737921269;8.296648248882158e-05;0.00012623662022743365;0.00016257963011982114;7.234133053061044e-05;5.077150339471797e-05;3.521785508589403e-05;9.873356979247743e-05;0.00016764658756296817;6.709509897161102e-05;6.0088364333101616e-05;4.540319890304071e-05;3.784106389590142e-05;0.0002122724295738077;4.3338650791112566e-05;0.0001254656023048847;6.210151754749124e-05;0.00010157387531971677;0.0001408634213763301;5.7955153114887275e-05;8.079528973832295e-05;5.876554082266208e-05;0.00021226855419071274;6.387850862558927e-05;0.00018672340921016737;0.00016042962921872283;9.801869216962263e-05;7.725533957554911e-05;0.00014090186830197567;0.0004424823795900386;0.00015046885506919328;0.00014183452288251967;4.5987592890850055e-05;7.06574383734573e-05;0.0001045052878866263;3.3646309543648115e-05;0.00011295957119267283;7.989725787337359e-05;0.00010992603827549564;6.531851252873025e-05;7.313533249098374e-05;5.534916413874829e-05;0.00014654849539898196;0.00013093750618632546;8.119038250306899e-05;0.00012119197860188336;0.00010078578096784914;7.61844714724312e-05;9.82361009935715e-05;8.263478227856053e-05;0.00015299345821974207;4.362181839952559e-05;7.647463245113432e-05;0.0002779788730187815;0.0001287445589299336;8.53421893623548e-05
2018-01-05 00:00:00;0.0022597636592766477;0.0037638988587957913;;4.6298305360097576e-05;8.966436015203687e-05;0.0002504629142883732;0.00013256297902787748;0.00013256297902787748;0.0001620646739546272;1.6577109351373263e-05;0.0005494505240537859;0.00020667851899880947;3.7671225327399804e-05;7.136657562220101e-05;4.5693352005211876e-05;4.0538997031064084e-05;0.00011026105571611378;4.3767942743218705e-05;6.876328326258143e-05;5.4966998678237975e-05;8.86285521991302e-05;0.00031010649216434583;9.95242165127827e-05;8.606295912099445e-05;9.243833438871291e-05;7.061937437574046e-05;5.2711617703667774e-05;3.516402806411229e-05;9.782479306656089e-05;0.00010026802490834695;0.0001440867445146007;3.781628117948132e-05;0.0002430317353297474;9.243080101963412e-05;5.1632514097313056e-05;9.78648299753718e-05;5.452008564831693e-05;0.00010708676148386884;0.00023239069158042722;0.00012687879687006283;6.270783992525803e-05;8.977114415867026e-05;0.0007979166321103846;0.00017270455701256626;5.338440676377468e-05;0.0001425829874201912;0.00020504507474578725;4.787823693242362e-05;7.454278302734711e-05;7.278671820182527e-05;7.009775263636673e-05;3.210459933233088e-05;2.7772279147403066e-05;7.832600633936276e-05;5.9234580868239815e-05;3.0371288132101933e-05;0.00011022831289227225;6.802380869656557e-05;0.00013746064238977668;4.7623939913078725e-05;7.235684720860208e-05;8.944353801576354e-05;0.0002492149434311417;6.583247059589449e-05;0.00023578040898290613;0.00011393852660029366;0.00014001640940378024;0.00011237140095956363;8.256473065594954e-05;0.00022513978363009608;0.00011686287748727237;9.960240582322408e-05;5.236821283280632e-05;6.805585670794503e-05;9.276412645979445e-05;8.185880907855002e-05;6.803998860567862e-05;9.726663188861347e-05;0.00014339860518454152;8.426478853563175e-05;6.261962320279092e-05;7.395198436877048e-05;0.00019199641798937239;0.00016122005713538494;5.154769840774357e-05;0.0001140733312865846;0.00023760411369020253;8.475314281649918e-05;8.597990147545091e-05;0.00011305543087028709;0.00016820755657270543;5.4480718574862285e-05;7.068933233215497e-05;0.00033409421880415546;0.00010778616601012812;9.568183274723146e-05
2018-01-06 00:00:00;0.0024005470927507106;0.0016936597172910579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00041947513882990893;;;;;;;;7.631581737051126e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00011027795452882392;;;;1.0339060604061905e-05;;0.0001217304207767532;4.6818104978565545e-05
2018-01-07 00:00:00;0.0020552682187842514;0.0022668231920743606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.017021978791893e-05;;1.8134601311648653e-05;;;;
2018-01-08 00:00:00;0.0070246474781426056;0.01832091942290396;;9.226994568768087e-05;0.00011999214778111945;0.0016006645640039045;0.00023389697405037452;0.00023389697405037452;0.00047281793371115055;1.7388838614943053e-05;0.00017304981582675437;0.0009748201890193384;0.000181744972458986;0.00015234335705301607;0.00013853532545722079;0.0001261521993689473;0.0002591234314273571;0.00021775307423054955;0.0002307941205351572;0.00031366805151505933;0.00012911926198676968;0.0003785618312593511;0.0002286483944824098;0.0004078919905387508;0.0006919986870096512;0.00013273447144522302;0.0002567095374859882;0.00021602473860027924;0.00021613123169267784;0.0003143416771375215;0.0007254428809163892;0.00025956609451866045;0.00040304594289678413;0.00015035197334598908;0.0002028237907493166;0.00010290797565647129;0.0002690523322816992;0.00011822478666732897;0.0008417184579303878;0.00021119011688600079;0.00022648266815605798;0.0002178010850658536;0.00013970229017104842;0.0002962336281218361;0.00012780639700448823;0.0003360278132174898;0.0004060474214102734;7.723322329668934e-05;0.0005042832716702434;0.00020884721050313607;5.2471321433646525e-05;5.95800750801699e-05;0.00016799429095124663;0.00012355750473847356;0.00016051813299036884;0.00014287765728648774;0.00031737185363199327;0.0001524651885215516;0.000743080757311833;0.0001563118767593487;0.00012323277246441183;0.0003604820018389421;0.0002540857681450159;0.0001881714741894883;0.0002116092757284892;0.0001879873788993435;0.00043328647822452645;0.0001702396668930755;0.0003576446120690151;0.001031389908378415;0.0002592169001482213;0.00015530301303907037;0.0003723661043765332;0.00027365116164248436;0.00019630877338404508;0.00048441542770540975;0.00028712237621351006;0.0003803648111984718;0.000241072307137031;0.00014347126659608974;9.699406868473174e-05;6.948429568934818e-05;0.00027252901235946787;0.00023090932913133732;0.00014156426565704037;0.00025399625424938265;0.00021566788782671049;0.00019782461424290557;7.847223299601398e-05;9.437106892285201e-05;0.00018744013691516877;2.43458249269681e-05;8.104242938998612e-05;0.00033348198304131903;0.0001475591837873833;9.376723015972098e-05
2018-01-09 00:00:00;0.003625591331121219;0.0068559409745453034;;4.5119713273700526e-05;4.309801016822501e-05;0.00025141552954637236;6.732035771442541e-05;6.732035771442541e-05;0.00026444032999748627;1.5735924787330506e-05;0.00010309879004131084;0.0002730214593624303;9.001054153374314e-05;0.0005799330145474991;0.0003585311805548363;5.9722077143124965e-05;5.347319484122007e-05;7.697823343228483e-05;0.00032888310158207573;0.00017487722682626503;3.488783890192776e-05;0.00012910884310979908;6.406492076166617e-05;0.00024363177739654507;0.00012461059547150017;7.786612865819834e-05;5.222171385030557e-05;0.00022368618299797302;4.835717775928852e-05;0.00015991420537956252;0.00015910184994269666;0.0004565416946645463;0.00031538314605997035;6.454427263099848e-05;3.90576792923202e-05;6.528984101707e-05;5.933765742421234e-05;7.468963735924465e-05;0.0004341581409456782;0.00015214192397503492;9.054470851793412e-05;5.094124417764762e-05;8.971710490023805e-05;7.479973283058734e-05;5.181087171169809e-05;0.00018911092589915242;6.529099446048119e-05;2.9534797962224555e-05;8.460500596583177e-05;9.76198032704355e-05;4.164526612256462e-05;3.294964830976644e-05;3.629797833734325e-05;8.106447979436266e-05;5.540809149882624e-05;4.4406027905231993e-05;3.59076080724295e-05;5.535106416856583e-05;8.969213061158412e-05;8.593438429549032e-05;7.342512985819978e-05;0.00022014413964919425;6.14212073143119e-05;9.356409772242079e-05;8.98905632165925e-05;6.392141195145641e-05;5.213896383605745e-05;2.1975121126984598e-05;0.00012799723640965474;0.0005540675352861282;0.0001347493944191847;4.533231595953545e-05;3.880876554333756e-05;8.327072963018649e-05;4.60778027316332e-05;0.0001679074534282233;0.00010830101151889754;8.308126834726295e-05;5.277825711191991e-05;8.993465203353912e-05;2.74314725515378e-05;2.530488821862935e-05;7.902083437562724e-05;6.315163108992659e-05;3.4582553779048926e-05;6.871008807897819e-05;4.295188535892387e-05;4.833437320021687e-05;0.00014247003122739863;0.00011968968228315438;9.95907349940828e-05;3.186776540386141e-05;7.299016182345481e-05;0.00037317551991446717;0.00015292972554154178;0.00010538502415678029
2018-01-10 00:00:00;0.00460117398367997;0.012680268468416703;;6.653923762580324e-05;5.247542798002205e-05;0.0005400291323405433;9.071138059788916e-05;9.071138059788916e-05;0.0002140415639786455;2.558911375311036e-05;0.00019594492899361877;0.0001552892266791989;6.483625222212181e-05;8.563588562941634e-05;4.674704374013611e-05;3.6056050379050725e-05;9.468892241412255e-05;5.816167252755569e-05;0.00026157557826995395;0.00012122964684412171;4.929646429631288e-05;7.058658225847595e-05;0.0001109970893950403;5.577644744926443e-05;7.940141980650203e-05;8.21199789478025e-05;7.470387347119635e-05;4.944741667029397e-05;8.046636307596718e-05;0.00016564600707163717;0.00015236759028195083;0.000185659740513116;0.00025741332523731224;0.0001853960217896424;8.296248760188157e-05;6.488003049073764e-05;0.00010847817485591513;7.677976021936487e-05;0.0002291660954101734;6.490566857540706e-05;0.00017610538208877934;5.43916963333286e-05;0.00020036145438773412;9.943942007190411e-05;6.203626248495189e-05;0.0001411350223858646;6.474807766160825e-05;5.317371056245641e-05;0.00016498241463647065;0.00014235033008967;4.8286769450921745e-05;3.3855753426829714e-05;6.452105426993242e-05;7.713732672176957e-05;0.00010522204554329733;0.0002636866143145837;7.590357207710571e-05;7.297679253703887e-05;0.00010181698129239027;0.00011436670782264514;0.00010381681372242065;0.00010433932054769569;8.113292441031354e-05;8.352721718658805e-05;0.00011143586175114785;7.595781043583046e-05;8.463751878987378e-05;0.00010216930260557565;0.0001398378557401978;0.0008981100759122753;0.00010747806863497986;7.682118289359829e-05;0.0002632218762884731;0.0001886791486857328;0.0006107244995941036;0.00024672005808536683;0.0003229748543929674;0.0002800831180292276;0.0003852245960488345;0.00013253791687601338;5.027002891927997e-05;6.124647205279181e-05;0.00010704820435661947;8.404777319867303e-05;5.845544857135744e-05;0.0002169361682468953;5.066402860978221e-05;0.0001250498119844065;0.00013776764496871256;7.790031496821864e-05;0.00020311230314293976;6.684880402516793e-05;8.197957359320934e-05;0.0006846122644088117;0.00014351950540113218;0.0001390933400390296
